# purrism 0.9.0
PreferPolymorphicCollections.container-not-abstract	PreferPolymorphicCollections	Container does not stay abstract	An operation on the container is not covered by the solved constraints, or its value is passed to a signature that names a concrete container, so the widened body would not compile.	Widen the receiving signature too, or replace the uncovered operation with one the constraint provides; then re-run `<module>.fix`.	#polymorphic-signatures
PreferPolymorphicCollections.explicit-type-arguments	PreferPolymorphicCollections	Container def called with explicit type arguments	A call site names this def's type arguments and inference cannot replace them, so the def cannot take another type parameter.	Let the call sites infer the type arguments, or leave the signature concrete; then re-run `<module>.fix`.	#polymorphic-signatures
PreferPolymorphicCollections.handed-over-as-value	PreferPolymorphicCollections	Container def handed over as a value	The def is referenced as a value rather than called, and a polymorphic method has no monomorphic function type, so widening it would stop that reference compiling.	Call the def at the use site instead of passing it as a value, or leave the signature concrete.	#polymorphic-signatures
PreferPolymorphicCollections.name-conflict	PreferPolymorphicCollections	No free type parameter name	Every candidate name for the new type parameter (`S`, `C`, `G`) is already taken in the definition, so the rule has nothing to introduce.	Rename one of the existing type parameters to free a candidate name, then re-run `<module>.fix`.	#polymorphic-signatures
PreferPolymorphicCollections.no-capability	PreferPolymorphicCollections	No Cats capability covers the container's use	No Cats typeclass in the index covers how the body uses the container, so there is no weaker signature to widen to.	Keep the concrete collection, or rewrite the body in terms of `Foldable`/`Functor`/`Traverse` operations and re-run `<module>.fix`.	#polymorphic-signatures
PreferPolymorphicCollections.order-or-index-specific	PreferPolymorphicCollections	Container used by position	The body reaches an element by position or order -- `xs(i)`, `.indices`, `.head`, `.sorted` -- which expresses random access, and Cats has no typeclass for that.	Express the body through `Foldable`/`Traverse` operations (`foldLeft`, `get`, `traverse`) or keep the concrete collection.	#polymorphic-signatures
PreferPolymorphicCollections.rewrite-off	PreferPolymorphicCollections	Container abstractable but rewriting is off	The container is abstractable over the reported constraints, but `PreferPolymorphicCollections.rewrite = false` leaves the signature unchanged.	Widen the signature by hand to `S[_]` with the reported constraints, or set `rewrite = true` and re-run `<module>.fix`.	#polymorphic-signatures
PreferPolymorphicCollections.too-many-constraints	PreferPolymorphicCollections	Widening needs too many constraints	Widening the container needs more typeclass constraints than `maxConstraints` allows, so the signature would be busier than the concrete one.	Raise `PreferPolymorphicCollections.maxConstraints`, or split the body so each def needs fewer capabilities; then re-run `<module>.fix`.	#polymorphic-signatures
PreferPolymorphicCollections.unsupported-kind	PreferPolymorphicCollections	Unsupported type-constructor kind	The container's type constructor has a kind the rule does not abstract over, such as the binary `Map[K, V]`.	Keep the concrete type, or widen only the unary containers in the signature.	#polymorphic-signatures
PreferPolymorphicTypeclasses.ambiguous-capability	PreferPolymorphicTypeclasses	Operations with unrelated capability roots	The body uses operations whose Cats capabilities have unrelated roots, so no single weakest typeclass covers them.	Split the body so each def needs one capability family, or keep the concrete type.	#polymorphic-signatures
PreferPolymorphicTypeclasses.concrete-constructor-match	PreferPolymorphicTypeclasses	Pattern match on a concrete constructor	The body matches on the constructor's own cases, such as `Nil` or `Some`, which fixes the concrete type and cannot be expressed through a typeclass.	Replace the match with a `fold`-style operation from the typeclass, or keep the concrete type.	#polymorphic-signatures
PreferPolymorphicTypeclasses.constructor-explicit-type-arguments	PreferPolymorphicTypeclasses	Def called with explicit type arguments	A call site names this def's type arguments and inference cannot replace them, so the def cannot take another type parameter.	Let the call sites infer the type arguments, or leave the signature concrete; then re-run `<module>.fix`.	#polymorphic-signatures
PreferPolymorphicTypeclasses.constructor-handed-over-as-value	PreferPolymorphicTypeclasses	Def handed over as a value	The def is referenced as a value rather than called, and a polymorphic method has no monomorphic function type, so widening it would stop that reference compiling.	Call the def at the use site instead of passing it as a value, or leave the signature concrete.	#polymorphic-signatures
PreferPolymorphicTypeclasses.constructor-name-conflict	PreferPolymorphicTypeclasses	No free type parameter name	Every candidate name for the new type parameter (`G`, `H`, `K`) is already taken in the definition, so the rule has nothing to introduce.	Rename one of the existing type parameters to free a candidate name, then re-run `<module>.fix`.	#polymorphic-signatures
PreferPolymorphicTypeclasses.constructor-order-or-index-specific	PreferPolymorphicTypeclasses	Constructor used by position	The body reaches an element by position or order -- `xs(i)`, `.indices`, `.head`, `.sorted` -- which expresses random access, and Cats has no typeclass for that.	Express the body through `Foldable`/`Traverse` operations (`foldLeft`, `get`, `traverse`) or keep the concrete type.	#polymorphic-signatures
PreferPolymorphicTypeclasses.constructor-rewrite-off	PreferPolymorphicTypeclasses	Constructor abstractable but rewriting is off	The type constructor is abstractable over the reported constraints, but `PreferPolymorphicTypeclasses.rewrite = false` leaves the signature unchanged.	Widen the signature by hand to `G[_]` with the reported constraints, or set `rewrite = true` and re-run `<module>.fix`.	#polymorphic-signatures
PreferPolymorphicTypeclasses.public-boundary	PreferPolymorphicTypeclasses	Public API boundary kept concrete	The def is public and `PreferPolymorphicTypeclasses.widenPublic = false`, so its signature is a boundary the rule does not change.	Make the def private, or set `widenPublic = true` if the call sites can absorb the new type parameter; then re-run `<module>.fix`.	#polymorphic-signatures
PreferPolymorphicTypeclasses.unsafe-body	PreferPolymorphicTypeclasses	Body the widening cannot carry	The body throws, returns early, mutates a variable, or calls a method with no typeclass counterpart, so the constructor cannot be abstracted.	Remove the obstacle -- return a value instead of throwing or mutating, or replace the call -- and re-run `<module>.fix`.	#polymorphic-signatures
PropagateOpaqueType.merge-point	PropagateOpaqueType	Merge point outside the closure	A node the closure reached also receives a value the closure does not cover, so it keeps the underlying type and the call site unwraps.	Add the reported symbol to `widen` if that value belongs in the conversion too, otherwise leave the merge point unwrapped; then re-run `<module>.fix`.	#propagateopaquetype
PropagateOpaqueType.stale-semanticdb	PropagateOpaqueType	SemanticDB out of date	The SemanticDB payload for this file no longer matches the source on disk, so a closure computed from it would be wrong and the file was left unchanged.	Recompile to regenerate SemanticDB and re-run `<module>.fix`.	#propagateopaquetype
SuspendSideEffects.unsuspended-effect	SuspendSideEffects	Side effect the signature does not mention	A method whose declared result is not an effect but whose body touches the world runs the effect when it is called, so nothing can sequence, retry or defer it.	Move the method to `F[A]` under `Sync` and wrap the body in `Sync[F].delay`, or mark a realtime path with `// purrism:keep <reason>`; then update the call sites and compile.	#suspendsideeffects
